"id","label","topic","text","length_chars","length_words","quality_score","sentiment","source_detail","timestamp","plagiarism_score","notes"
"169","ai","entertainment","Analysis indicates that entertainment is associated with users report a mixed set of outcomes. adoption increases with better education there are trade-offs to consider costs can vary greatly depending on implementation","219","31","3.21","0.88","gpt-5-base","2024-07-10 19:05:23","0.074",""
"120","human","lifestyle","My personal opinion on lifestyle is that users report a mixed set of outcomes.","78","14","3.82","-0.41","author_49","2024-12-26 03:05:04","0.108",""
"67","human","finance","After trying several approaches related to finance, I noticed the community response has been overwhelmingly positive.","118","16","2.14","0.28","author_61","2024-10-12 17:54:11","0.339","personal_tone"
"306","ai","finance","This article discusses finance and highlights that there are trade-offs to consider.","84","12","4.32","0.29","gpt-5-base","2023-12-12 15:47:21","0.133",""
"190","human","education","In my experience, education often leads to there are trade-offs to consider.","76","12","3.96","-0.01","author_37","2023-09-03 20:06:02","0.113",""
"435","human","sports","I recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.","107","17","3.59","-0.47","author_72","2023-07-23 18:13:41","0.338","personal_tone"
"290","ai","technology","The following summary on technology shows privacy concerns remain a top challenge. Community feedback will shape future developments.","133","18","4.45","0.19","gpt-5-base","2024-08-05 01:03:14","0.026",""
"143","ai","travel","The following summary on travel shows users report a mixed set of outcomes.","75","13","2.8","-0.3","gpt-4o-mini","2023-05-23 08:37:09","0.119",""
"147","ai","health","The following summary on health shows it requires more data for conclusive evidence.","84","13","2.81","-0.15","gpt-5-base","2024-06-30 03:24:05","0.075",""
"294","human","technology","As someone who follows technology, I believe the community response has been overwhelmingly positive.","101","14","1.53","-0.22","author_91","2025-04-04 11:07:17","0.249","personal_tone"
"313","ai","travel","This article discusses travel and highlights that the community response has been overwhelmingly positive. Further investigation is warranted.","142","18","4.63","-0.06","gpt-4o-mini","2024-11-24 11:23:07","0.064",""
"312","human","lifestyle","As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.","100","14","1.76","0.49","author_59","2025-07-15 09:19:00","0.226","personal_tone"
"493","human","lifestyle","In my experience, lifestyle often leads to users report a mixed set of outcomes.","80","14","2.84","0.39","author_74","2025-01-13 23:12:48","0.059",""
"66","ai","food","Analysis indicates that food is associated with adoption increases with better education. Further investigation is warranted.","125","16","4.59","0.26","llama-3-small","2025-08-31 00:45:19","0.15",""
"375","human","food","I recently experienced food in my day-to-day life and found that the results are promising but preliminary. it can be optimized with simple heuristics costs can vary greatly depending on implementation","201","31","3.84","0.01","author_91","2023-07-25 18:51:01","0.005","personal_tone"
"35","ai","food","Analysis indicates that food is associated with it can be optimized with simple heuristics.","91","14","4.16","-0.03","llama-3-small","2025-02-05 06:20:10","0.092",""
"343","human","education","In my experience, education often leads to privacy concerns remain a top challenge.","83","13","4.11","-0.37","author_10","2024-04-15 12:04:38","0.013",""
"174","ai","food","The following summary on food shows adoption increases with better education. Further investigation is warranted.","113","15","3.64","0.88","bloomz-7b","2024-01-18 15:08:25","0.105",""
"202","ai","sports","This article discusses sports and highlights that users report a mixed set of outcomes.","87","14","2.63","0.06","claude-2","2025-05-08 02:46:03","0.051",""
"180","ai","sports","This article discusses sports and highlights that it can be optimized with simple heuristics.","93","14","3.85","0.38","claude-2","2023-12-23 04:19:09","0.027",""
"307","ai","entertainment","The following summary on entertainment shows costs can vary greatly depending on implementation. Implementation details matter a lot here. users report a mixed set of outcomes","175","26","3.03","-0.57","gpt-4o-mini","2024-05-31 06:09:09","0.018",""
"234","human","travel","My personal opinion on travel is that there are trade-offs to consider.","71","12","4.66","-0.35","author_90","2024-02-10 22:46:39","0.107",""
"443","human","food","In my experience, food often leads to there are trade-offs to consider. Community feedback will shape future developments.","122","18","3.77","-0.32","author_21","2024-02-01 17:53:34","0.166",""
"346","ai","sports","This article discusses sports and highlights that it can be optimized with simple heuristics.","93","14","2.84","-0.01","gpt-5-base","2025-03-27 19:52:09","0.044",""
"129","ai","lifestyle","This article discusses lifestyle and highlights that it improves efficiency significantly. Further investigation is warranted.","126","15","3.87","0.49","llama-3-small","2024-06-24 15:24:36","0.017",""
"278","ai","lifestyle","A concise overview of lifestyle: privacy concerns remain a top challenge. This could change as new data becomes available. it requires more data for conclusive evidence","168","26","4.56","0.34","gpt-5-base","2024-05-06 07:16:11","0.015",""
"5","ai","health","This article discusses health and highlights that the results are promising but preliminary.","92","13","4.59","-0.36","gpt-4o-mini","2023-12-30 07:37:40","0.101",""
"402","human","finance","I recently experienced finance in my day-to-day life and found that it requires more data for conclusive evidence.","114","18","2.45","0.33","author_7","2023-07-12 11:40:27","0.007","personal_tone"
"362","human","education","As someone who follows education, I believe it improves efficiency significantly.","81","11","3.7","-0.54","author_34","2024-08-09 05:20:49","0.02","personal_tone"
"327","human","entertainment","After trying several approaches related to entertainment, I noticed it improves efficiency significantly.","105","13","3.01","0.28","author_23","2025-08-04 18:30:28","0.273","personal_tone"
"431","human","entertainment","As someone who follows entertainment, I believe it improves efficiency significantly. This could change as new data becomes available.","134","19","4.05","-0.47","author_80","2025-01-27 01:59:08","0.085","personal_tone"
"468","human","health","As someone who follows health, I believe privacy concerns remain a top challenge. I would love to hear others' thoughts on this.","128","22","4.0","0.18","author_88","2023-01-05 11:19:20","0.326","personal_tone"
"214","human","health","My personal opinion on health is that the results are promising but preliminary. Community feedback will shape future developments. it can be optimized with simple heuristics costs can vary greatly depending on implementation it can be optimized with simple heuristics","268","40","1.87","-0.45","author_72","2023-08-16 18:35:35","0.261",""
"331","ai","health","Research-style summary on health suggests costs can vary greatly depending on implementation.","93","12","4.17","0.03","bloomz-7b","2025-02-04 19:26:19","0.043",""
"330","ai","science","The following summary on science shows the results are promising but preliminary. This could change as new data becomes available.","130","20","4.8","-0.4","gpt-5-base","2024-12-28 23:40:08","0.146",""
"296","ai","science","Research-style summary on science suggests adoption increases with better education.","84","10","3.7","-0.1","llama-3-small","2023-10-11 23:19:24","0.049",""
"417","ai","food","Research-style summary on food suggests it improves efficiency significantly. it requires more data for conclusive evidence","123","16","2.69","-0.28","gpt-5-base","2024-06-15 03:32:09","0.015",""
"407","human","travel","My personal opinion on travel is that the community response has been overwhelmingly positive. I would love to hear others' thoughts on this.","141","23","2.26","-0.43","author_22","2024-10-10 15:48:26","0.114","personal_tone"
"103","human","food","My personal opinion on food is that privacy concerns remain a top challenge. This could change as new data becomes available.","125","21","4.33","0.67","author_83","2025-09-24 22:38:10","0.215",""
"165","ai","finance","This article discusses finance and highlights that it requires more data for conclusive evidence.","97","14","3.37","0.06","claude-2","2023-09-20 17:26:33","0.032",""
"215","human","entertainment","In my experience, entertainment often leads to costs can vary greatly depending on implementation.","98","14","3.92","-0.37","author_54","2023-01-26 17:34:37","0.037",""
"6","human","science","As someone who follows science, I believe the results are promising but preliminary.","84","13","4.74","0.43","author_100","2023-08-13 11:48:24","0.295","personal_tone"
"420","ai","science","Analysis indicates that science is associated with costs can vary greatly depending on implementation.","102","14","4.57","-0.11","bloomz-7b","2023-09-04 20:30:12","0.082",""
"450","human","health","I recently experienced health in my day-to-day life and found that there are trade-offs to consider.","100","16","1.8","0.46","author_21","2025-01-14 18:37:45","0.214","personal_tone"
"63","human","sports","After trying several approaches related to sports, I noticed the community response has been overwhelmingly positive. it requires more data for conclusive evidence the community response has been overwhelmingly positive","219","30","1.75","-0.25","author_26","2023-09-28 22:45:27","0.206","personal_tone"
"335","human","lifestyle","As someone who follows lifestyle, I believe the community response has been overwhelmingly positive.","100","14","3.77","0.53","author_93","2024-07-13 21:58:07","0.069","personal_tone"
"301","ai","entertainment","A concise overview of entertainment: there are trade-offs to consider. Community feedback will shape future developments.","121","16","4.05","0.11","bloomz-7b","2023-07-19 18:13:18","0.018",""
"18","ai","science","This article discusses science and highlights that there are trade-offs to consider.","84","12","2.54","-0.46","bloomz-7b","2025-02-10 08:36:22","0.025",""
"351","ai","food","The following summary on food shows it can be optimized with simple heuristics. Further investigation is warranted.","115","17","4.28","0.36","llama-3-small","2023-10-11 13:05:18","0.02",""
"348","human","sports","As someone who follows sports, I believe privacy concerns remain a top challenge. Further investigation is warranted.","117","17","2.38","-0.43","author_97","2024-11-18 20:39:16","0.298","personal_tone"
"86","ai","science","Analysis indicates that science is associated with privacy concerns remain a top challenge.","91","13","4.56","0.12","llama-3-small","2025-04-05 10:44:44","0.112",""
"258","ai","sports","This article discusses sports and highlights that privacy concerns remain a top challenge.","90","13","4.98","-0.55","claude-2","2024-02-19 16:27:50","0.083",""
"366","ai","finance","This article discusses finance and highlights that adoption increases with better education. Community feedback will shape future developments.","143","18","4.69","0.2","gpt-5-base","2025-02-09 04:16:43","0.014",""
"386","human","travel","After trying several approaches related to travel, I noticed the community response has been overwhelmingly positive.","117","16","2.98","0.03","author_52","2025-02-09 13:33:19","0.128","personal_tone"
"316","human","finance","As someone who follows finance, I believe it improves efficiency significantly. Community feedback will shape future developments.","130","17","3.49","0.06","author_79","2024-09-17 13:49:34","0.273","personal_tone"
"390","human","entertainment","My personal opinion on entertainment is that costs can vary greatly depending on implementation.","96","14","4.76","-0.21","author_87","2023-01-21 14:59:30","0.042",""
"340","human","health","In my experience, health often leads to costs can vary greatly depending on implementation. Community feedback will shape future developments.","142","20","2.35","-0.54","author_15","2025-06-25 11:41:05","0.133",""
"285","ai","science","This article discusses science and highlights that the community response has been overwhelmingly positive.","107","14","3.81","0.03","claude-2","2024-02-29 05:26:53","0.022",""
"163","ai","science","Analysis indicates that science is associated with costs can vary greatly depending on implementation.","102","14","3.12","0.24","gpt-5-base","2023-08-19 10:50:08","0.116",""
"324","human","technology","My personal opinion on technology is that costs can vary greatly depending on implementation.","93","14","2.52","0.18","author_22","2024-12-19 03:52:15","0.016",""
"325","ai","finance","This article discusses finance and highlights that it can be optimized with simple heuristics.","94","14","2.8","0.68","gpt-5-base","2023-08-09 16:38:25","0.124",""
"148","human","finance","After trying several approaches related to finance, I noticed adoption increases with better education.","103","14","1.64","0.7","author_99","2023-03-25 01:39:18","0.332","personal_tone"
"30","human","food","As someone who follows food, I believe it can be optimized with simple heuristics.","82","14","1.88","0.71","author_59","2025-05-29 17:08:14","0.078","personal_tone"
"108","human","technology","My personal opinion on technology is that the results are promising but preliminary.","84","13","4.17","-0.17","author_56","2023-05-03 00:16:53","0.174",""
"464","human","education","My personal opinion on education is that adoption increases with better education.","82","12","2.74","0.85","author_49","2023-10-15 01:08:05","0.119",""
"496","ai","lifestyle","Analysis indicates that lifestyle is associated with it requires more data for conclusive evidence.","99","14","3.14","0.28","claude-2","2024-04-17 08:48:12","0.11",""
"426","human","sports","My personal opinion on sports is that it improves efficiency significantly.","75","11","3.48","-0.11","author_87","2024-12-15 08:02:20","0.054",""
"251","ai","lifestyle","A concise overview of lifestyle: the results are promising but preliminary.","75","11","4.99","0.56","gpt-5-base","2025-01-20 19:53:58","0.114",""
"136","ai","finance","A concise overview of finance: the community response has been overwhelmingly positive.","87","12","3.17","-0.48","gpt-5-base","2024-03-10 02:52:25","0.065",""
"261","human","technology","I recently experienced technology in my day-to-day life and found that the community response has been overwhelmingly positive. Community feedback will shape future developments.","178","24","4.04","0.14","author_28","2024-01-27 15:32:03","0.06","personal_tone"
"118","human","entertainment","After trying several approaches related to entertainment, I noticed the community response has been overwhelmingly positive.","124","16","2.8","-0.18","author_7","2024-02-23 12:19:10","0.238","personal_tone"
"188","ai","education","This article discusses education and highlights that costs can vary greatly depending on implementation.","104","14","2.73","0.49","claude-2","2023-07-15 01:52:35","0.04",""
"416","ai","technology","The following summary on technology shows costs can vary greatly depending on implementation. the community response has been overwhelmingly positive","149","20","4.82","0.65","claude-2","2024-04-24 23:15:44","0.009",""
"166","ai","science","The following summary on science shows it requires more data for conclusive evidence. Community feedback will shape future developments.","136","19","2.63","0.76","gpt-4o-mini","2023-08-20 23:13:36","0.035",""
"224","ai","sports","A concise overview of sports: the community response has been overwhelmingly positive. Community feedback will shape future developments. it requires more data for conclusive evidence","183","25","2.58","-0.26","claude-2","2023-10-23 06:07:27","0.117",""
"445","ai","food","The following summary on food shows the community response has been overwhelmingly positive.","92","13","4.02","0.64","claude-2","2025-01-07 11:23:32","0.059",""
"286","human","health","I recently experienced health in my day-to-day life and found that adoption increases with better education.","108","16","4.58","0.72","author_74","2023-09-28 13:56:46","0.229","personal_tone"
"492","human","entertainment","As someone who follows entertainment, I believe costs can vary greatly depending on implementation.","99","14","3.2","0.6","author_11","2025-06-01 01:12:17","0.12","personal_tone"
"477","ai","health","The following summary on health shows costs can vary greatly depending on implementation.","89","13","4.46","0.05","gpt-5-base","2025-03-17 12:27:32","0.082",""
"478","human","health","In my experience, health often leads to adoption increases with better education. Community feedback will shape future developments.","132","18","3.44","0.63","author_9","2023-06-30 11:12:54","0.335",""
"481","ai","sports","This article discusses sports and highlights that costs can vary greatly depending on implementation.","101","14","3.78","0.67","claude-2","2025-05-22 10:42:39","0.009",""
"418","ai","education","Research-style summary on education suggests the results are promising but preliminary.","87","11","4.87","0.24","claude-2","2024-07-25 15:06:59","0.112",""
"7","human","education","My personal opinion on education is that it improves efficiency significantly. costs can vary greatly depending on implementation the results are promising but preliminary the community response has been overwhelmingly positive","227","31","2.88","0.77","author_32","2024-04-14 05:12:06","0.093",""
"423","human","travel","After trying several approaches related to travel, I noticed costs can vary greatly depending on implementation. This could change as new data becomes available.","161","24","1.82","-0.0","author_93","2025-07-28 07:54:59","0.257","personal_tone"
"12","human","health","My personal opinion on health is that costs can vary greatly depending on implementation. Further investigation is warranted.","125","18","4.81","-0.47","author_69","2024-05-12 02:31:11","0.342",""
"193","human","education","As someone who follows education, I believe costs can vary greatly depending on implementation.","95","14","3.25","0.38","author_63","2024-12-02 12:17:25","0.09","personal_tone"
"93","ai","technology","Analysis indicates that technology is associated with it can be optimized with simple heuristics. I would love to hear others' thoughts on this.","144","23","4.56","-0.46","gpt-4o-mini","2023-08-06 23:21:49","0.096",""
"222","ai","finance","Research-style summary on finance suggests the community response has been overwhelmingly positive.","99","12","5.0","0.23","llama-3-small","2024-05-16 10:30:58","0.021",""
"111","ai","finance","A concise overview of finance: adoption increases with better education.","72","10","2.72","0.67","claude-2","2023-09-07 15:51:44","0.088",""
"239","human","science","After trying several approaches related to science, I noticed adoption increases with better education.","103","14","4.79","-0.56","author_27","2025-05-17 23:58:18","0.307","personal_tone"
"439","human","sports","After trying several approaches related to sports, I noticed it requires more data for conclusive evidence.","107","16","2.22","-0.39","author_40","2024-07-08 07:21:57","0.302","personal_tone"
"476","human","sports","My personal opinion on sports is that there are trade-offs to consider. privacy concerns remain a top challenge the community response has been overwhelmingly positive","167","25","2.9","0.02","author_62","2024-09-27 08:52:21","0.192",""
"59","human","science","As someone who follows science, I believe it requires more data for conclusive evidence.","88","14","1.86","-0.58","author_44","2023-10-19 17:05:24","0.168","personal_tone"
"381","ai","food","The following summary on food shows costs can vary greatly depending on implementation.","87","13","4.87","0.42","gpt-5-base","2025-07-20 06:55:25","0.075",""
"79","human","entertainment","My personal opinion on entertainment is that users report a mixed set of outcomes. it requires more data for conclusive evidence","128","21","2.75","0.05","author_88","2023-09-08 19:20:21","0.144",""
"380","ai","science","This article discusses science and highlights that privacy concerns remain a top challenge.","91","13","3.22","-0.0","gpt-5-base","2025-02-05 12:27:05","0.011",""
"248","human","technology","As someone who follows technology, I believe it improves efficiency significantly. This could change as new data becomes available.","131","19","2.03","0.8","author_92","2025-05-28 01:17:15","0.194","personal_tone"
"208","ai","travel","A concise overview of travel: the results are promising but preliminary.","72","11","2.77","-0.14","claude-2","2025-08-29 14:24:24","0.05",""
"102","ai","food","This article discusses food and highlights that it can be optimized with simple heuristics.","91","14","3.38","0.27","gpt-5-base","2023-08-06 05:38:00","0.099",""
"345","human","science","After trying several approaches related to science, I noticed it improves efficiency significantly. Community feedback will shape future developments. costs can vary greatly depending on implementation","201","26","4.75","-0.44","author_37","2025-03-16 10:58:18","0.212","personal_tone"
"393","human","food","My personal opinion on food is that costs can vary greatly depending on implementation.","87","14","2.88","0.73","author_67","2025-03-10 13:13:20","0.262",""
"424","ai","entertainment","A concise overview of entertainment: users report a mixed set of outcomes.","74","12","3.94","0.76","claude-2","2024-09-01 23:23:01","0.045",""
"489","ai","lifestyle","A concise overview of lifestyle: costs can vary greatly depending on implementation.","84","12","3.24","-0.35","claude-2","2024-12-12 21:45:33","0.112",""
"257","ai","health","The following summary on health shows there are trade-offs to consider.","71","11","4.26","0.3","gpt-5-base","2023-08-09 11:56:04","0.022",""
"181","ai","science","The following summary on science shows users report a mixed set of outcomes.","76","13","4.95","0.09","bloomz-7b","2025-01-06 19:49:21","0.064",""
"437","human","science","I recently experienced science in my day-to-day life and found that it requires more data for conclusive evidence.","114","18","4.62","0.62","author_29","2023-01-31 20:12:17","0.332","personal_tone"
"19","ai","education","This article discusses education and highlights that it can be optimized with simple heuristics. I would love to hear others' thoughts on this.","143","23","3.16","0.58","claude-2","2024-04-10 10:23:08","0.063",""
"41","ai","science","The following summary on science shows the community response has been overwhelmingly positive.","95","13","3.15","-0.23","claude-2","2024-10-14 10:05:47","0.115",""
"422","human","food","My personal opinion on food is that it improves efficiency significantly.","73","11","3.5","0.26","author_20","2023-04-07 01:22:26","0.161",""
"470","human","travel","As someone who follows travel, I believe users report a mixed set of outcomes. privacy concerns remain a top challenge privacy concerns remain a top challenge there are trade-offs to consider","191","31","2.22","-0.07","author_91","2023-11-23 09:52:07","0.05","personal_tone"
"42","ai","education","A concise overview of education: it requires more data for conclusive evidence. This could change as new data becomes available.","128","20","3.34","0.74","bloomz-7b","2023-03-24 05:02:16","0.023",""
"160","ai","lifestyle","The following summary on lifestyle shows adoption increases with better education.","82","11","2.93","0.34","gpt-5-base","2024-09-26 13:50:32","0.022",""
"287","ai","technology","Analysis indicates that technology is associated with users report a mixed set of outcomes.","91","14","4.2","0.0","gpt-4o-mini","2024-02-10 12:04:09","0.104",""
"133","human","lifestyle","As someone who follows lifestyle, I believe costs can vary greatly depending on implementation. Community feedback will shape future developments.","146","20","3.75","0.65","author_62","2024-12-02 16:54:59","0.343","personal_tone"
"291","human","education","In my experience, education often leads to it improves efficiency significantly. This could change as new data becomes available.","129","19","2.46","0.64","author_16","2024-06-01 14:27:08","0.222",""
"497","human","science","As someone who follows science, I believe costs can vary greatly depending on implementation. there are trade-offs to consider","126","19","1.54","-0.45","author_93","2023-04-17 16:14:10","0.123","personal_tone"
"342","ai","science","This article discusses science and highlights that there are trade-offs to consider. Community feedback will shape future developments.","135","18","4.07","-0.28","bloomz-7b","2024-10-06 07:45:41","0.13",""
"81","ai","entertainment","This article discusses entertainment and highlights that it requires more data for conclusive evidence.","103","14","3.22","0.22","claude-2","2023-03-17 16:04:58","0.142",""
"47","ai","sports","This article discusses sports and highlights that it requires more data for conclusive evidence.","96","14","2.63","0.83","gpt-4o-mini","2023-08-18 23:40:15","0.01",""
"457","ai","entertainment","This article discusses entertainment and highlights that users report a mixed set of outcomes.","94","14","3.82","0.19","gpt-4o-mini","2024-12-13 07:36:40","0.092",""
"94","human","food","As someone who follows food, I believe the results are promising but preliminary.","81","13","4.4","0.23","author_30","2024-08-23 07:51:45","0.285","personal_tone"
"447","ai","science","The following summary on science shows it improves efficiency significantly.","76","10","3.26","0.64","claude-2","2024-04-17 06:03:41","0.063",""
"82","ai","sports","A concise overview of sports: it requires more data for conclusive evidence.","76","12","3.46","0.12","claude-2","2023-08-31 13:53:06","0.086",""
"373","human","lifestyle","In my experience, lifestyle often leads to it improves efficiency significantly.","80","11","3.8","-0.17","author_100","2025-09-13 21:45:11","0.02",""
"326","ai","health","This article discusses health and highlights that it can be optimized with simple heuristics.","93","14","3.97","0.56","claude-2","2024-04-06 16:39:10","0.099",""
"452","human","sports","My personal opinion on sports is that it requires more data for conclusive evidence.","84","14","2.51","-0.33","author_1","2025-07-09 04:47:25","0.336",""
"455","human","finance","After trying several approaches related to finance, I noticed it improves efficiency significantly.","99","13","4.72","-0.53","author_37","2024-03-02 06:29:23","0.056","personal_tone"
"376","human","health","My personal opinion on health is that privacy concerns remain a top challenge.","78","13","3.54","-0.08","author_25","2025-04-15 10:04:02","0.079",""
"226","human","sports","As someone who follows sports, I believe there are trade-offs to consider.","74","12","3.07","-0.08","author_16","2025-04-16 03:10:01","0.154","personal_tone"
"140","ai","food","A concise overview of food: costs can vary greatly depending on implementation.","79","12","3.82","-0.0","gpt-4o-mini","2024-10-27 10:08:48","0.037",""
"107","human","food","I recently experienced food in my day-to-day life and found that it can be optimized with simple heuristics.","108","18","3.2","0.4","author_77","2023-02-16 08:01:43","0.138","personal_tone"
"233","human","technology","In my experience, technology often leads to there are trade-offs to consider. Further investigation is warranted.","113","16","1.5","0.84","author_39","2023-07-27 04:48:10","0.309",""
"292","human","education","In my experience, education often leads to costs can vary greatly depending on implementation.","94","14","4.55","0.28","author_34","2023-12-25 12:32:01","0.057",""
"205","ai","food","This article discusses food and highlights that there are trade-offs to consider. This could change as new data becomes available.","130","20","4.4","-0.45","claude-2","2023-03-31 06:49:21","0.065",""
"332","human","science","I recently experienced science in my day-to-day life and found that there are trade-offs to consider. the results are promising but preliminary","143","22","2.43","0.58","author_8","2023-10-21 09:07:21","0.051","personal_tone"
"198","ai","lifestyle","The following summary on lifestyle shows the results are promising but preliminary.","83","12","2.7","0.89","bloomz-7b","2024-10-27 01:09:12","0.014",""
"96","human","technology","As someone who follows technology, I believe costs can vary greatly depending on implementation. it improves efficiency significantly users report a mixed set of outcomes","170","25","4.1","0.19","author_100","2025-02-02 02:18:50","0.167","personal_tone"
"123","human","lifestyle","As someone who follows lifestyle, I believe it can be optimized with simple heuristics. Community feedback will shape future developments.","138","20","2.08","0.06","author_31","2024-02-25 13:15:49","0.237","personal_tone"
"24","human","education","My personal opinion on education is that costs can vary greatly depending on implementation. Community feedback will shape future developments.","143","20","3.64","0.88","author_71","2024-10-31 19:15:29","0.003",""
"14","ai","entertainment","A concise overview of entertainment: privacy concerns remain a top challenge. Further investigation is warranted. adoption increases with better education","154","20","3.88","0.28","gpt-4o-mini","2023-01-08 02:35:05","0.106",""
"62","ai","lifestyle","Analysis indicates that lifestyle is associated with it can be optimized with simple heuristics. there are trade-offs to consider the results are promising but preliminary the results are promising but preliminary","213","31","3.16","-0.48","gpt-5-base","2023-09-03 06:19:42","0.083",""
"299","human","science","My personal opinion on science is that the community response has been overwhelmingly positive.","95","14","4.44","0.71","author_17","2023-07-05 10:41:46","0.034",""
"40","ai","technology","The following summary on technology shows privacy concerns remain a top challenge. the community response has been overwhelmingly positive","138","19","4.17","0.88","bloomz-7b","2024-09-01 11:33:08","0.143",""
"361","ai","lifestyle","The following summary on lifestyle shows there are trade-offs to consider.","74","11","2.78","0.41","bloomz-7b","2024-05-05 07:40:17","0.089",""
"259","human","health","I recently experienced health in my day-to-day life and found that the community response has been overwhelmingly positive. it improves efficiency significantly","160","22","4.41","0.87","author_48","2023-05-14 07:12:49","0.288","personal_tone"
"243","human","science","After trying several approaches related to science, I noticed privacy concerns remain a top challenge. I would love to hear others' thoughts on this.","149","24","3.29","-0.3","author_51","2025-04-07 05:39:25","0.188","personal_tone"
"173","human","technology","In my experience, technology often leads to there are trade-offs to consider.","77","12","3.26","0.74","author_82","2024-12-21 11:19:20","0.242",""
"99","ai","sports","Research-style summary on sports suggests adoption increases with better education.","83","10","3.58","0.59","claude-2","2023-04-28 23:50:14","0.098",""
"293","human","travel","In my experience, travel often leads to it improves efficiency significantly. Community feedback will shape future developments.","128","17","2.25","-0.27","author_53","2023-08-19 07:31:36","0.094",""
"245","human","health","As someone who follows health, I believe it improves efficiency significantly.","78","11","4.84","0.18","author_17","2025-03-12 09:26:20","0.058","personal_tone"
"352","ai","entertainment","Analysis indicates that entertainment is associated with the community response has been overwhelmingly positive.","113","14","2.77","0.37","gpt-5-base","2023-03-25 10:13:00","0.129",""
"377","ai","sports","This article discusses sports and highlights that adoption increases with better education.","91","12","2.77","-0.49","claude-2","2023-10-29 12:22:40","0.142",""
"284","ai","education","Research-style summary on education suggests users report a mixed set of outcomes.","82","12","4.79","-0.5","llama-3-small","2024-02-02 20:15:23","0.06",""
"427","ai","entertainment","Research-style summary on entertainment suggests adoption increases with better education.","90","10","3.22","-0.01","claude-2","2023-05-16 12:14:22","0.012",""
"262","human","travel","In my experience, travel often leads to it requires more data for conclusive evidence. adoption increases with better education the results are promising but preliminary it requires more data for conclusive evidence","215","32","3.25","0.72","author_50","2024-05-05 02:13:12","0.031",""
"128","human","food","I recently experienced food in my day-to-day life and found that the results are promising but preliminary. costs can vary greatly depending on implementation users report a mixed set of outcomes users report a mixed set of outcomes","232","38","1.63","0.78","author_61","2024-04-28 05:03:11","0.266","personal_tone"
"83","ai","travel","A concise overview of travel: it improves efficiency significantly.","67","9","4.21","0.52","llama-3-small","2023-02-20 22:04:42","0.112",""
"459","ai","science","A concise overview of science: the community response has been overwhelmingly positive.","87","12","3.08","-0.16","bloomz-7b","2023-07-18 00:03:27","0.018",""
"269","human","health","My personal opinion on health is that privacy concerns remain a top challenge.","78","13","4.8","-0.01","author_18","2023-04-14 12:15:13","0.106",""
"28","ai","finance","Analysis indicates that finance is associated with it improves efficiency significantly.","88","11","4.93","-0.54","gpt-4o-mini","2024-01-02 07:38:55","0.102",""
"90","ai","sports","The following summary on sports shows there are trade-offs to consider. I would love to hear others' thoughts on this.","118","20","3.73","-0.45","bloomz-7b","2025-06-27 19:34:17","0.02",""
"389","ai","entertainment","Analysis indicates that entertainment is associated with it requires more data for conclusive evidence.","103","14","3.5","0.44","bloomz-7b","2023-03-03 07:50:41","0.122",""
"74","ai","food","Research-style summary on food suggests privacy concerns remain a top challenge.","80","11","4.67","0.87","bloomz-7b","2023-09-02 20:49:06","0.057",""
"186","ai","technology","A concise overview of technology: costs can vary greatly depending on implementation.","85","12","3.54","-0.38","bloomz-7b","2024-01-21 06:41:41","0.113",""
